Epoch: 46 | Time: 6m 55s
	Train Loss: 1.776 | Train PPL:   5.906
	 Val. Loss: 5.294 |  Val. PPL: 199.153
Epoch: 47 | Time: 6m 21s
	Train Loss: 1.777 | Train PPL:   5.914
	 Val. Loss: 4.766 |  Val. PPL: 117.428
Epoch: 48 | Time: 6m 37s
	Train Loss: 1.760 | Train PPL:   5.815
	 Val. Loss: 5.539 |  Val. PPL: 254.542
Epoch: 49 | Time: 6m 26s
	Train Loss: 1.774 | Train PPL:   5.896
	 Val. Loss: 5.433 |  Val. PPL: 228.851
Epoch: 50 | Time: 6m 28s
	Train Loss: 1.765 | Train PPL:   5.839
	 Val. Loss: 5.315 |  Val. PPL: 203.452
Epoch: 51 | Time: 6m 16s
	Train Loss: 1.758 | Train PPL:   5.803
	 Val. Loss: 5.466 |  Val. PPL: 236.582
Epoch: 52 | Time: 6m 24s
	Train Loss: 1.753 | Train PPL:   5.771
	 Val. Loss: 5.453 |  Val. PPL: 233.564
Epoch: 53 | Time: 6m 9s
	Train Loss: 1.751 | Train PPL:   5.762
	 Val. Loss: 4.908 |  Val. PPL: 135.301
Epoch: 54 | Time: 6m 9s
	Train Loss: 1.744 | Train PPL:   5.722
	 Val. Loss: 4.560 |  Val. PPL:  95.592
Epoch: 55 | Time: 6m 44s
	Train Loss: 1.751 | Train PPL:   5.760
	 Val. Loss: 4.941 |  Val. PPL: 139.890
Epoch: 56 | Time: 6m 10s
	Train Loss: 1.733 | Train PPL:   5.658
	 Val. Loss: 5.371 |  Val. PPL: 215.080
Epoch: 57 | Time: 6m 8s
	Train Loss: 1.752 | Train PPL:   5.765
	 Val. Loss: 4.834 |  Val. PPL: 125.694
Epoch: 58 | Time: 6m 33s
	Train Loss: 1.739 | Train PPL:   5.690
	 Val. Loss: 5.603 |  Val. PPL: 271.361
Epoch: 59 | Time: 6m 47s
	Train Loss: 1.744 | Train PPL:   5.720
	 Val. Loss: 4.811 |  Val. PPL: 122.844
Epoch: 60 | Time: 6m 24s
	Train Loss: 1.739 | Train PPL:   5.691
	 Val. Loss: 5.314 |  Val. PPL: 203.134
Epoch: 61 | Time: 6m 11s
	Train Loss: 1.731 | Train PPL:   5.645
	 Val. Loss: 5.340 |  Val. PPL: 208.444
Epoch: 62 | Time: 7m 7s
	Train Loss: 1.727 | Train PPL:   5.623
	 Val. Loss: 4.811 |  Val. PPL: 122.829
Epoch: 63 | Time: 6m 52s
	Train Loss: 1.718 | Train PPL:   5.576
	 Val. Loss: 5.630 |  Val. PPL: 278.705
Epoch: 64 | Time: 6m 20s
	Train Loss: 1.714 | Train PPL:   5.549
	 Val. Loss: 5.671 |  Val. PPL: 290.292
Epoch: 65 | Time: 6m 27s
	Train Loss: 1.716 | Train PPL:   5.563
	 Val. Loss: 5.406 |  Val. PPL: 222.639
Epoch: 66 | Time: 6m 17s
	Train Loss: 1.727 | Train PPL:   5.623
	 Val. Loss: 5.485 |  Val. PPL: 240.930
Epoch: 67 | Time: 6m 10s
	Train Loss: 1.734 | Train PPL:   5.665
	 Val. Loss: 5.462 |  Val. PPL: 235.540
Epoch: 68 | Time: 6m 15s
	Train Loss: 1.720 | Train PPL:   5.587
	 Val. Loss: 5.599 |  Val. PPL: 270.224
Epoch: 69 | Time: 6m 51s
	Train Loss: 1.722 | Train PPL:   5.595
	 Val. Loss: 5.557 |  Val. PPL: 258.973
Epoch: 70 | Time: 6m 13s
	Train Loss: 1.725 | Train PPL:   5.611
	 Val. Loss: 5.338 |  Val. PPL: 208.094
Epoch: 71 | Time: 6m 31s
	Train Loss: 1.712 | Train PPL:   5.537
	 Val. Loss: 4.741 |  Val. PPL: 114.540
Epoch: 72 | Time: 6m 4s
	Train Loss: 1.715 | Train PPL:   5.555
	 Val. Loss: 5.753 |  Val. PPL: 315.288
Epoch: 73 | Time: 6m 30s
	Train Loss: 1.709 | Train PPL:   5.522
	 Val. Loss: 5.665 |  Val. PPL: 288.506
Epoch: 74 | Time: 6m 9s
	Train Loss: 1.702 | Train PPL:   5.486
	 Val. Loss: 5.638 |  Val. PPL: 280.879
Epoch: 75 | Time: 6m 34s
	Train Loss: 1.699 | Train PPL:   5.468
	 Val. Loss: 4.745 |  Val. PPL: 114.991
Epoch: 76 | Time: 6m 21s
	Train Loss: 1.702 | Train PPL:   5.484
	 Val. Loss: 5.311 |  Val. PPL: 202.525
Epoch: 77 | Time: 6m 23s
	Train Loss: 1.706 | Train PPL:   5.506
	 Val. Loss: 5.418 |  Val. PPL: 225.469
Epoch: 78 | Time: 6m 26s
	Train Loss: 1.693 | Train PPL:   5.437
	 Val. Loss: 5.721 |  Val. PPL: 305.210
Epoch: 79 | Time: 6m 15s
